locality	type_core	lat_N	lon_E	top_age_kaBP	bottom_age_kaBP	DMAR_g/m2a	sigma_g/m2a	DMAR10_g/m2a	sigma10_g/m2a
Vostok_Antarctica	ice-core	-78.47	106.80	3.64	10.08	3.54E-04	8.14E-05	3.54E-04	8.33E-05
EDC_Antarctica	ice-core	-75.10	123.35	0.12	11.67	4.08E-04	6.40E-05	4.08E-04	6.72E-05
Harberton_Argentina	peat	-54.90	-67.20	0.02	11.70	1.13E+00	1.70E-01	6.29E-01	3.89E-01
PS75/059-2_Pacific-Ocean	marine	-54.22	-125.43	1.66	9.93	4.01E-01	1.76E-01	4.01E-01	2.98E-01
Karukinka_Chile	peat	-53.86	-69.58	0.17	4.00	1.51E+01	2.27E+00	8.37E+00	4.37E+00
Rio-Rubens_Chile	peat	-52.03	-71.93	0.19	2.51	5.53E-01	1.04E-01	1.60E-01	4.38E-02
Hooker's-Point_Malvinas-Islands	peat	-51.70	-57.78	6.46	11.59	1.00E+00	4.28E-01	1.79E-01	9.32E-02
SO136-038GC-6_Pacific-Ocean	marine	-50.22	175.31	1.76	10.59	5.56E-01	2.48E-01	5.56E-01	4.16E-01
Y9_Pacific-Ocean	marine	-48.24	177.34	1.00	11.52	1.04E+00	4.62E-01	4.73E-01	2.54E-01
MD94-104_Indian-Ocean	marine	-46.50	88.10	4.30	11.10	1.17E+00	5.13E-01	1.17E+00	8.67E-01
MD88-769_Indian-Ocean	marine	-46.10	90.10	8.50	11.00	9.68E-01	4.26E-01	9.68E-01	7.20E-01
MD88-770_Indian-Ocean	marine	-46.00	96.50	7.30	11.70	5.63E-01	2.48E-01	5.63E-01	4.19E-01
PS75/100-4_Pacific-Ocean	marine	-45.76	177.15	3.48	11.31	3.06E+00	1.66E+00	1.40E+00	8.07E-01
MD11-3357_Indian-Ocean	marine	-44.68	80.43	0.36	11.78	3.00E+00	1.32E+00	3.00E+00	2.23E+00
PS2498-1_Atlantic-Ocean	marine	-44.25	-14.82	2.50	11.85	1.05E+00	5.77E-01	1.05E+00	8.53E-01
Canterbury-Plains-II_New-Zealand	loess	-44.01	171.89	0.30	11.00	5.36E+01	2.38E+01	9.65E+00	7.20E+00
Barrhill_New-Zealand	loess	-43.67	171.85	5.49	11.70	3.65E+02	1.96E+02	6.58E+01	5.29E+01
MD94-102_Indian-Ocean	marine	-43.50	79.80	6.50	11.60	1.97E+00	8.66E-01	1.97E+00	1.47E+00
TN057-06PC4_Atlantic-Ocean	marine	-42.91	8.90	7.80	11.70	6.43E-01	2.83E-01	5.19E-01	2.51E-01
TN057-21-PC2_Atlantic-Ocean	marine	-41.13	7.81	2.40	11.70	2.36E+00	1.66E+00	1.91E+00	1.46E+00
ODP1088_Atlantic-Ocean	marine	-41.08	13.34	0.00	3.00	1.55E+00	6.82E-01	1.25E+00	6.67E-01
DSDP-593_Pacific-Ocean	marine	-40.51	167.67	8.77	11.35	3.12E-01	1.39E-01	1.16E-01	6.22E-02
E26-1_Tasman-Sea	marine	-40.28	168.34	4.47	10.58	1.22E+00	6.93E-01	4.54E-01	2.73E-01
Amsterdam-Island_Indian-Ocean	peat	-37.85	77.55	0.00	3.75	3.48E-01	1.18E-01	1.57E-01	1.08E-01
Upper-Snowy-Core_Australia	peat	-36.46	148.30	1.15	5.88	9.12E+00	6.95E+00	4.10E+00	3.98E+00
Gorina_Argentina	loess	-34.90	-58.02	8.40	11.70	7.44E+01	3.74E+01	1.72E+01	9.30E+00
Tortugas-I_Argentina	loess	-32.31	-61.77	0.00	1.00	2.27E+02	1.12E+02	5.67E+01	3.02E+01
Lozada_Argentina	loess	-31.65	-64.13	8.97	11.81	3.95E+02	1.89E+02	7.63E+01	3.96E+01
Mfabeni-MF4-12_South-Africa	peat	-28.15	32.52	0.00	11.70	8.73E+00	5.86E+00	2.62E+00	2.05E+00
Native-Companion-Lagoon_Australia	lake	-27.67	153.41	0.49	11.30	7.20E-01	1.82E-01	5.40E-01	3.51E-01
Santa-Victoria_Argentina	peat	-22.22	-65.10	0.40	2.55	5.60E+00	3.27E+00	3.88E-01	2.99E-01
Opuwo_Namibia	loess	-18.20	13.81	2.37	9.22	2.49E+02	9.81E+01	1.37E+02	6.79E+01
Lynch's-Crater_Australia	peat	-17.37	145.70	4.23	11.70	1.17E+00	3.77E-01	5.25E-01	3.58E-01
SO-14-08-05_Indian-Ocean	marine	-16.35	118.38	2.68	11.70	8.94E-01	5.03E-01	5.10E-01	4.19E-01
WIND-28K_Indian-Ocean	marine	-10.15	51.77	4.41	10.60	2.76E+00	1.21E+00	2.76E+00	2.05E+00
V19-29_Pacific-Ocean	marine	-3.60	-83.93	1.80	4.50	1.98E+00	8.73E-01	9.92E-01	7.38E-01
PLDS-7G_Pacific-Ocean	marine	-3.39	-102.45	0.21	11.65	6.73E-02	3.00E-02	5.05E-02	3.78E-02
RC24-12_Atlantic-Ocean	marine	-3.01	-11.42	1.79	11.91	9.86E-01	4.40E-01	4.93E-01	3.69E-01
ODP138-848B-1H_Pacific-Ocean	marine	-2.99	-110.48	0.00	12.00	1.04E-01	4.63E-02	1.04E-01	7.77E-02
TT013-MC27_Pacific-Ocean	marine	-2.89	-139.83	2.60	10.50	1.17E-01	5.22E-02	1.17E-01	8.76E-02
SA6.5_Indonesia	peat	-2.31	113.91	6.60	12.49	3.99E-01	2.53E-01	1.80E-01	1.57E-01
TT013-MC19_Pacific-Ocean	marine	-1.87	-139.72	4.61	11.02	1.14E-01	5.10E-02	1.14E-01	8.54E-02
TT013-PC18_Pacific-Ocean	marine	-1.84	-139.71	5.50	9.70	1.26E-01	5.52E-02	1.26E-01	9.34E-02
RC8-102_Pacific-Ocean	marine	-1.42	-86.85	5.60	9.05	4.01E-01	1.76E-01	2.01E-01	1.49E-01
RC24-07_Atlantic-Ocean	marine	-1.33	-11.92	1.89	10.83	1.72E+00	7.69E-01	8.62E-01	6.44E-01
MD97-2138_Pacific-Ocean	marine	-1.25	146.24	3.50	10.60	8.50E-01	3.74E-01	8.50E-01	6.32E-01
V21-29_Pacific-Ocean	marine	-1.05	-89.35	3.93	9.39	1.37E-01	6.03E-02	6.85E-02	5.10E-02
9MC_Pacific-Ocean	marine	-0.68	-85.33	2.59	10.73	6.53E-01	2.87E-01	3.27E-01	2.43E-01
V22-182_Atlantic-Ocean	marine	-0.53	-17.27	0.87	11.01	1.61E+00	7.17E-01	8.04E-01	6.01E-01
14MC_13BB_Pacific-Ocean	marine	-0.22	-155.96	3.34	6.20	8.56E-02	3.77E-02	8.56E-02	6.37E-02
V30-40_Atlantic-Ocean	marine	-0.20	-23.15	1.52	10.97	1.79E+00	7.97E-01	8.93E-01	6.68E-01
16MC_Pacific-Ocean	marine	-0.18	-85.86	1.00	4.74	6.18E-01	3.54E-01	3.09E-01	2.56E-01
MV1014-02-17JC_Pacific-Ocean	marine	-0.18	-85.87	0.18	11.61	6.93E-01	3.75E-01	3.46E-01	2.80E-01
MW91-9-GGC48_Pacific-Ocean	marine	0.00	161.00	0.63	11.31	2.90E-01	1.31E-01	2.90E-01	2.18E-01
