locality	type_core	lat	lon	top_age_kaBP	bottom_age_kaBP	DMAR_g/m2a	sigma_g/m2a	DMAR10_g/m2a	sigma10_g/m2a
Vostok_Antarctica	ice-core	-78.47	106.80	19.32	26.25	2.39E-02	1.82E-02	2.39E-02	1.83E-02
EDC_Antarctica	ice-core	-75.10	123.35	19.05	26.26	7.94E-03	2.47E-03	7.94E-03	2.74E-03
PS75/059-2_Pacific-Ocean	marine	-54.22	-125.43	20.27	26.48	8.93E-01	3.93E-01	8.93E-01	6.65E-01
SO136-038GC-6_Pacific-Ocean	marine	-50.22	175.31	19.41	25.29	8.91E-01	3.98E-01	8.91E-01	6.66E-01
Y9_Pacific-Ocean	marine	-48.24	177.34	22.84	25.34	3.11E+00	1.39E+00	1.47E+00	7.91E-01
MD94-104_Indian-Ocean	marine	-46.50	88.10	19.10	22.70	3.72E+00	1.63E+00	3.72E+00	2.76E+00
MD88-769_Indian-Ocean	marine	-46.10	90.10	19.50	26.50	2.74E+00	1.21E+00	2.74E+00	2.04E+00
MD88-770_Indian-Ocean	marine	-46.00	96.50	19.80	24.60	1.69E+00	7.41E-01	1.69E+00	1.25E+00
PS75/100-4_Pacific-Ocean	marine	-45.76	177.15	19.97	26.41	1.35E+01	6.88E+00	6.38E+00	3.50E+00
MD07-3076Q_Atlantic-Ocean	marine	-44.90	-14.14	19.00	23.00	4.78E+00	2.10E+00	4.78E+00	3.55E+00
MD11-3357_Indian-Ocean	marine	-44.68	80.43	19.57	26.23	3.92E+00	1.72E+00	3.92E+00	2.91E+00
PS2498-1_Atlantic-Ocean	marine	-44.25	-14.82	19.70	26.40	5.09E+00	2.71E+00	5.09E+00	4.08E+00
Canterbury-Plains_New-Zealand	loess	-44.02	171.88	19.25	28.00	3.28E+01	1.58E+01	8.19E+00	6.31E+00
MD94-102_Indian-Ocean	marine	-43.50	79.80	20.70	24.90	2.14E+00	9.41E-01	2.14E+00	1.59E+00
MtCass-E2a_New-Zealand	loess	-43.08	172.78	21.36	23.79	8.37E+02	3.60E+02	3.10E+02	2.04E+02
TN057-06PC4_Atlantic-Ocean	marine	-42.91	8.90	19.00	26.50	2.86E+00	1.26E+00	2.27E+00	1.10E+00
TN057-21-PC2_Atlantic-Ocean	marine	-41.13	7.81	19.00	26.50	3.88E+00	2.73E+00	3.08E+00	2.36E+00
DSDP-593_Pacific-Ocean	marine	-40.51	167.67	20.94	22.12	1.20E+00	5.35E-01	4.45E-01	2.28E-01
E26-1_Tasman-Sea	marine	-40.28	168.34	19.57	26.46	6.06E+00	3.27E+00	2.25E+00	1.26E+00
Gorina_Argentina	loess	-34.90	-58.02	19.46	26.15	3.01E+01	9.15E+00	6.92E+00	2.52E+00
Tortugas-II_Argentina	loess	-32.72	-61.80	19.12	26.86	1.50E+02	5.37E+01	5.33E+01	2.18E+01
Lozada_Argentina	loess	-31.65	-64.13	19.11	26.64	2.95E+01	1.12E+01	4.02E+00	1.72E+00
GeoB3808-6_Atlantic-Ocean	marine	-30.80	-14.70	20.18	20.18	7.87E-01	3.46E-01	7.87E-01	5.86E-01
Native-Companion-Lagoon_Australia	lake	-27.67	153.41	19.25	25.78	2.14E+00	6.11E-01	1.61E+00	1.07E+00
GeoB-1035_Atlantic-Ocean	marine	-21.60	5.03	19.00	23.00	1.36E+00	5.96E-01	6.78E-01	5.04E-01
SO-14-08-05_Indian-Ocean	marine	-16.35	118.38	20.77	25.91	7.30E-01	4.11E-01	4.16E-01	3.42E-01
TT154-10_Pacific-Ocean	marine	-10.30	-111.33	19.00	23.00	7.30E-02	3.21E-02	7.30E-02	5.43E-02
WIND-28K_Indian-Ocean	marine	-10.15	51.77	23.00	23.00	3.21E+00	1.41E+00	2.41E+00	1.79E+00
V21-40_Pacific-Ocean	marine	-5.52	-106.77	19.00	23.00	1.17E-01	5.15E-02	1.17E-01	8.71E-02
TT013-MC34_Pacific-Ocean	marine	-4.97	-139.74	19.00	23.00	1.19E-01	5.24E-02	1.19E-01	8.85E-02
VTR01-10GGC_Pacific-Ocean	marine	-4.51	-102.02	19.36	26.29	2.10E-01	9.36E-02	1.57E-01	1.18E-01
TR163-31P_Pacific-Ocean	marine	-3.60	-83.95	19.00	23.00	2.22E+00	9.78E-01	1.11E+00	8.27E-01
PLDS-7G_Pacific-Ocean	marine	-3.39	-102.45	19.20	26.05	1.58E-01	7.06E-02	1.19E-01	8.87E-02
RC24-12_Atlantic-Ocean	marine	-3.01	-11.42	19.42	24.47	1.36E+00	6.00E-01	6.82E-01	5.08E-01
ODP138-848B-1H_Pacific-Ocean	marine	-2.99	-110.48	18.00	24.00	1.64E-01	7.23E-02	1.64E-01	1.22E-01
V19-28_Pacific-Ocean	marine	-2.40	-84.70	19.00	23.00	8.81E-01	3.88E-01	4.41E-01	3.28E-01
TT013-PC18_Pacific-Ocean	marine	-1.84	-139.71	19.00	26.50	3.13E-01	1.38E-01	3.13E-01	2.33E-01
RC13-114_Pacific-Ocean	marine	-1.65	-103.63	19.00	23.00	1.76E-01	7.74E-02	1.32E-01	9.82E-02
RC11-238_Pacific-Ocean	marine	-1.52	-85.82	19.00	23.00	5.14E-01	2.26E-01	2.57E-01	1.91E-01
RC8-102_Pacific-Ocean	marine	-1.42	-86.85	19.80	23.80	5.20E-01	2.29E-01	5.20E-01	3.87E-01
RC24-07_Atlantic-Ocean	marine	-1.33	-11.92	21.00	25.62	2.21E+00	9.73E-01	1.11E+00	8.22E-01
MD97-2138_Pacific-Ocean	marine	-1.25	146.24	19.40	25.70	1.36E+00	5.98E-01	1.36E+00	1.01E+00
V28-203_Pacific-Ocean	marine	-0.95	-179.42	19.00	23.00	2.48E-01	1.09E-01	2.48E-01	1.85E-01
V22-182_Atlantic-Ocean	marine	-0.53	-17.27	21.10	26.64	2.46E+00	1.08E+00	1.23E+00	9.14E-01
KNR-73-3PC_Pacific-Ocean	marine	-0.37	-106.18	19.56	26.57	2.13E-01	9.51E-02	2.13E-01	1.59E-01
14MC-13BB_Pacific-Ocean	marine	-0.22	-155.96	19.15	24.44	2.05E-01	9.01E-02	2.05E-01	1.52E-01
V30-40_Atlantic-Ocean	marine	-0.20	-23.15	18.52	25.00	3.35E+00	1.47E+00	1.68E+00	1.25E+00
MV1014-02-17JC_Pacific-Ocean	marine	-0.18	-85.87	19.07	26.45	9.89E-01	5.16E-01	4.94E-01	3.93E-01
MW91-9-GGC48_Pacific-Ocean	marine	0.00	161.00	21.18	24.77	4.80E-01	2.35E-01	4.80E-01	3.71E-01
ME0005-24JC_Pacific-Ocean	marine	0.02	-86.45	19.00	23.00	7.02E-01	3.96E-01	7.02E-01	5.78E-01
Y69-71_Pacific-Ocean	marine	0.09	-86.48	19.67	21.95	6.94E-01	3.56E-01	6.94E-01	5.48E-01
TT013-PC72_Pacific-Ocean	marine	0.11	-139.40	19.00	26.50	3.68E-01	1.62E-01	3.68E-01	2.74E-01
ODP138-849A-1H_Pacific-Ocean	marine	0.18	-110.52	20.00	27.00	2.29E-01	1.01E-01	2.29E-01	1.71E-01
ODP806_Pacific-Ocean	marine	0.32	159.36	19.00	23.00	6.93E-01	3.05E-01	6.93E-01	5.16E-01
MC1208-17PC_Pacific-Ocean	marine	0.48	-156.45	19.05	26.59	2.03E-01	8.95E-02	2.03E-01	1.51E-01
TR163-22_Pacific-Ocean	marine	0.52	-92.40	21.80	25.30	7.35E-01	3.80E-01	7.35E-01	5.82E-01
